# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 260:         5.180       52.100       1.90  DE BILT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TG
# 
  260,19840101,   90
  260,19840102,   76
  260,19840103,   59
  260,19840104,   38
  260,19840105,   32
  260,19840106,   49
  260,19840107,   57
  260,19840108,   40
  260,19840109,   30
  260,19840110,   27
  260,19840111,   69
  260,19840112,   44
  260,19840113,   64
  260,19840114,   56
  260,19840115,   31
  260,19840116,   55
  260,19840117,   55
  260,19840118,   33
  260,19840119,   -1
  260,19840120,    4
  260,19840121,  -20
  260,19840122,  -30
  260,19840123,  -22
  260,19840124,   13
  260,19840125,    3
  260,19840126,    5
  260,19840127,   35
  260,19840128,   43
  260,19840129,   46
  260,19840130,   43
  260,19840131,   41
  260,19840201,   24
  260,19840202,   56
  260,19840203,   58
  260,19840204,   60
  260,19840205,   58
  260,19840206,   69
  260,19840207,   49
  260,19840208,   44
  260,19840209,   39
  260,19840210,   49
  260,19840211,   60
  260,19840212,   17
  260,19840213,    8
  260,19840214,   -9
  260,19840215,  -24
  260,19840216,  -32
  260,19840217,  -37
  260,19840218,  -22
  260,19840219,  -21
  260,19840220,  -10
  260,19840221,   38
  260,19840222,   29
  260,19840223,    2
  260,19840224,    7
  260,19840225,    5
  260,19840226,   15
  260,19840227,   16
  260,19840228,   23
  260,19840229,    2
  260,19840301,   15
  260,19840302,   37
  260,19840303,   28
  260,19840304,   17
  260,19840305,   51
  260,19840306,   62
  260,19840307,   54
  260,19840308,   28
  260,19840309,   12
  260,19840310,   16
  260,19840311,   45
  260,19840312,   44
  260,19840313,   28
  260,19840314,   35
  260,19840315,   36
  260,19840316,   22
  260,19840317,   24
  260,19840318,   24
  260,19840319,   31
  260,19840320,   29
