"<textarea id=""rawdata"">"
#date,average rain
  20160101,    0
  20160102,   33
  20160103,   88
  20160104,  112
  20160105,    3
  20160106,    5
  20160107,  108
  20160108,    0
  20160109,    3
  20160110,   43
  20160111,   19
  20160112,  104
  20160113,   28
  20160114,  134
  20160115,   -1
  20160116,   16
  20160117,   -1
  20160118,    0
  20160119,   -1
  20160120,   -1
  20160121,    0
  20160122,   41
  20160123,    0
  20160124,   22
  20160125,    0
  20160126,   21
  20160127,  131
  20160128,    2
  20160129,   19
  20160130,  187
  20160131,   45
  20160201,    5
  20160202,    2
  20160203,   43
  20160204,   34
  20160205,    8
  20160206,    1
  20160207,   37
  20160208,  110
  20160209,   88
  20160210,   57
  20160211,    2
  20160212,   -1
  20160213,    5
  20160214,  146
  20160215,    1
  20160216,    0
  20160217,    0
  20160218,   13
  20160219,    5
  20160220,   90
  20160221,   83
  20160222,   35
  20160223,   33
  20160224,    4
  20160225,   19
  20160226,    0
  20160227,    0
  20160228,    0
  20160229,    0
  20160301,   61
  20160302,   68
  20160303,    8
  20160304,  125
  20160305,    2
  20160306,   17
  20160307,   25
  20160308,   -1
  20160309,    0
  20160310,    0
  20160311,    0
  20160312,    0
  20160313,    0
  20160314,    0
  20160315,    0
  20160316,    0
  20160317,    0
  20160318,   -1
  20160319,    0
  20160320,    7
  20160321,   12
  20160322,    1
  20160323,    3
  20160324,    1
  20160325,   44
  20160326,    0
  20160327,   73
  20160328,    9
  20160329,   83
  20160330,   12
  20160331,    0
  20160401,    0
  20160402,   -1
  20160403,   97
  20160404,   63
  20160405,   14
  20160406,   41
  20160407,   41
  20160408,   22
  20160409,    0
  20160410,   17
  20160411,   -1
  20160412,   30
  20160413,    0
  20160414,    0
  20160415,  101
  20160416,    7
  20160417,   43
  20160418,   -1
  20160419,    0
  20160420,    0
  20160421,    0
  20160422,    0
  20160423,   30
  20160424,   22
  20160425,   41
  20160426,  119
  20160427,   28
  20160428,   10
  20160429,  100
  20160430,    0
  20160501,    0
  20160502,    1
  20160503,   35
  20160504,    0
  20160505,    0
  20160506,    0
  20160507,    0
  20160508,    0
  20160509,    0
  20160510,   -1
  20160511,   -1
  20160512,    0
  20160513,    0
  20160514,   -1
  20160515,    1
  20160516,    3
  20160517,    0
  20160518,    4
  20160519,    2
  20160520,    5
  20160521,   -1
  20160522,  153
  20160523,  184
  20160524,   -1
  20160525,    1
  20160526,    0
  20160527,    0
  20160528,   -1
  20160529,    4
  20160530,   66
  20160531,    0
  20160601,   15
  20160602,   -1
  20160603,   -1
  20160604,    5
  20160605,    0
  20160606,    0
  20160607,   -1
  20160608,    0
  20160609,    0
  20160610,   -1
  20160611,   13
  20160612,   33
  20160613,   26
  20160614,  224
  20160615,   62
  20160616,   26
  20160617,   40
  20160618,   11
  20160619,   -1
  20160620,  182
  20160621,   39
  20160622,    0
  20160623,  495
  20160624,    7
  20160625,   14
  20160626,  190
  20160627,   23
  20160628,   50
  20160629,   16
  20160630,   76
  20160701,   22
  20160702,   15
  20160703,  178
  20160704,    0
  20160705,   19
  20160706,    5
  20160707,    0
  20160708,   47
  20160709,    0
  20160710,    0
  20160711,    0
  20160712,   99
  20160713,   42
  20160714,    0
  20160715,    0
  20160716,    0
  20160717,   -1
  20160718,    0
  20160719,    0
  20160720,    0
  20160721,    0
  20160722,  117
  20160723,    0
  20160724,    0
  20160725,    5
  20160726,    0
  20160727,   64
  20160728,    5
  20160729,   38
  20160730,   72
  20160731,    2
  20160801,   68
  20160802,   83
  20160803,   19
  20160804,   -1
  20160805,    0
  20160806,   64
  20160807,    0
  20160808,    1
  20160809,   74
  20160810,   13
  20160811,   96
  20160812,   16
  20160813,    0
  20160814,    0
  20160815,    0
  20160816,    0
  20160817,    0
  20160818,    0
  20160819,   34
  20160820,   54
  20160821,  145
  20160822,   32
  20160823,    0
  20160824,    0
  20160825,    0
  20160826,    0
  20160827,   11
  20160828,    4
  20160829,    2
  20160830,    0
  20160831,    0
  20160901,    0
  20160902,   10
  20160903,   10
  20160904,   28
  20160905,   -1
  20160906,    0
  20160907,    0
  20160908,    0
  20160909,    0
  20160910,    0
  20160911,   12
  20160912,    0
  20160913,    0
  20160914,    0
  20160915,   42
  20160916,   12
  20160917,    0
  20160918,    0
  20160919,    0
  20160920,    0
  20160921,    0
  20160922,    0
  20160923,   -1
  20160924,    0
  20160925,   35
  20160926,    0
  20160927,    0
  20160928,   -1
  20160929,   27
  20160930,   -1
  20161001,   10
  20161002,  107
  20161003,   -1
  20161004,    0
  20161005,    0
  20161006,    0
  20161007,    0
  20161008,   -1
  20161009,    4
  20161010,    0
  20161011,   -1
  20161012,    0
  20161013,    0
  20161014,   47
  20161015,   41
  20161016,   -1
  20161017,    2
  20161018,  117
  20161019,  134
  20161020,    9
  20161021,    2
  20161022,    0
  20161023,    0
  20161024,    0
  20161025,    0
  20161026,   -1
  20161027,    0
  20161028,   -1
  20161029,    0
  20161030,    0
  20161031,    0
  20161101,    2
  20161102,   42
  20161103,    6
  20161104,   27
  20161105,   31
  20161106,   51
  20161107,   17
  20161108,   15
  20161109,   37
  20161110,  139
  20161111,    2
