# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 240:         4.790       52.318      -3.30  SCHIPHOL
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# RH       = Etmaalsom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm); 
# 
# STN,YYYYMMDD,   RH
# 
  240,20170621,    0
  240,20170622,   68
  240,20170623,    1
  240,20170624,   17
  240,20170625,   41
  240,20170626,    0
  240,20170627,   11
  240,20170628,   17
  240,20170629,    6
  240,20170630,   56
  240,20170701,   46
  240,20170702,    1
  240,20170703,    3
  240,20170704,    0
  240,20170705,    0
  240,20170706,  165
  240,20170707,   81
  240,20170708,    4
  240,20170709,    0
  240,20170710,    1
  240,20170711,   36
  240,20170712,  230
