# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 240:         4.790       52.318      -3.30  SCHIPHOL
# 260:         5.180       52.100       1.90  DE BILT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# TN       = Minimum temperatuur (in 0.1 graden Celsius); 
# TX       = Maximum temperatuur (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TG,   TN,   TX
# 
  240,20170101,   16,    0,   32
  240,20170102,   32,   -1,   67
  240,20170103,   57,   16,   74
  240,20170104,   59,   24,   76
  240,20170105,    3,  -43,   40
  240,20170106,  -25,  -59,   -2
  240,20170107,    7,  -13,   35
  240,20170108,   44,   11,   72
  240,20170109,   54,   39,   66
  240,20170110,   57,   31,   74
  240,20170111,   72,   49,   98
  240,20170112,   53,    2,   79
  240,20170113,   37,    2,   62
  240,20170114,   25,    0,   49
  240,20170115,   11,  -33,   36
  240,20170116,   -8,  -50,   33
  240,20170117,  -35,  -67,    4
  240,20170118,  -34,  -62,  -16
  240,20170119,  -14,  -57,   48
  240,20170120,    3,  -51,   48
  240,20170121,    4,  -49,   46
  240,20170122,  -16,  -69,   37
  240,20170123,    0,  -63,   32
  240,20170124,   13,   -3,   31
  240,20170125,   -9,  -41,    7
  240,20170126,  -25,  -48,   -1
  240,20170127,    8,  -42,   47
  240,20170128,   57,   24,   94
  240,20170129,   44,   29,   61
  240,20170130,   50,   31,   71
  240,20170131,   40,   31,   57
  240,20170201,   37,    4,   64
  240,20170202,   89,   57,  129
  240,20170203,   84,   62,  114
  240,20170204,   54,   25,   72
  240,20170205,   40,   16,   61
  240,20170206,   44,   16,   62
  240,20170207,   24,    9,   41
  240,20170208,   -1,   -9,    9
  240,20170209,  -14,  -20,   -8
  240,20170210,  -22,  -40,  -15
  240,20170211,   -4,  -16,    8
  240,20170212,    3,  -13,   20
  240,20170213,   16,  -15,   53
  240,20170214,   37,   -3,   89
  240,20170215,   68,   11,  129
  240,20170216,   62,   30,   95
  240,20170217,   69,   51,   82
  240,20170218,   43,   17,   88
  240,20170219,   64,   20,  101
  240,20170220,   91,   73,  110
  240,20170221,   91,   71,  106
  240,20170222,   89,   73,  101
  240,20170223,   77,   41,  105
  240,20170224,   44,   -1,   82
  240,20170225,   58,   11,   87
  240,20170226,   87,   69,  106
  240,20170227,   83,   43,  102
  240,20170228,   44,   21,   66
  240,20170301,   61,   36,   89
  240,20170302,   63,   28,   84
  240,20170303,   58,   12,   89
  240,20170304,   86,   60,  131
  240,20170305,   68,   41,  110
  240,20170306,   59,   25,  100
  240,20170307,   66,   41,   90
  240,20170308,   59,   21,  101
  240,20170309,   73,   11,  122
  240,20170310,   66,   -5,  116
  240,20170311,   77,   25,  125
  240,20170312,   89,   44,  152
  240,20170313,   63,    5,  123
  240,20170314,   81,   33,  136
  240,20170315,   89,   43,  135
  240,20170316,   99,   28,  165
  240,20170317,   81,   65,  105
  240,20170318,   91,   76,  115
  240,20170319,  113,   95,  136
  240,20170320,  103,   82,  113
  240,20170321,   71,   29,   95
  240,20170322,   71,   12,  128
  240,20170323,   82,   19,  132
  240,20170324,   86,   48,  132
  240,20170325,   87,   39,  135
  240,20170326,   81,   54,  115
  240,20170327,  104,   24,  179
